943736910-20115-u	This looks like a good fix, the new data makes it clearer what is going on.
693486553-19686-nu	@shubham11941140, the whole point in this PR is that @anntzer _wants_ to change the output
925111817-19686-nu	We discussed this briefly and I think we can move ahead with this.
930421265-19686-nu	Thanks @anntzer lets give this a shot!  If anyone stumbles on it or has concerns please make a note/open an issue.
898954090-19665-nu	I think we should drop LGTM. Was there a PR that was improved due to its output over the past year or so?
899106122-19665-nu	Hi @charris, thanks for the ping. Yes, let me see if I can get a member of the Python team to get back to you on this.
906503864-19663-nu	Adding the caveat seems right to me, lets get this in.  If anyone has comments we can fix it up. Thanks!  (I will assume the circle CI is just a hiccup.)
687059621-19648-nu	```suggestion\r\n        python-version: [3.7, 3.8, 3.9, 3.10.0-rc.1]\r\n```\r\nWas dropping 3.8 here intentional?
896114622-19638-nu	I think I remember a while being spent on this in person at BIDS, but we might not have been aware of `__code__.replace` at the time (or maybe it didn't exist?)
896124351-19638-nu	Is there documentation anywhere for `code.replace`? It looks like it's new in 3.8, which would explain why we didn't use it before.
897118973-19638-nu	We discussed it briefly today, and since there is a good chance we will drop 3.7, and the traceback does not look like a disaster without replacement either, the `hasattr` solution seems like a good solution for now.
905892160-19638-nu	Hmm, took the liberty to apply the suggestion and remove the draft mark.  Had to change the indentation to make the linter happy, not perfect, but OK.    Also rebased now, since CI was failing.  Hopefully, it is ready with those small fixups.
906114280-19638-nu	Could you run `python -X importtime -c \"import numpy\"` before and after this PR? I think the change simplifies code anyway, but it would be nice to know if this helps import time as well.
684134857-19610-nu	I assume this loop is not slower by a relevant factor than the chained `if`s?
684059489-19609-nu	Maybe worth adding a comment about expected input being already decoded?
724128904-19609-nu	LGTM, just one nit, but could be merged without that.
894104378-19609-nu	It seems CI is acting up. Maybe close/open this in a few hours to see if that clears the problem
894108671-19609-nu	Doesn't this conflict with some of your other PRs? Do you have a preference for merge order?
892253123-19607-nu	Thanks @asmeurer . This ~probably~ maybe could be tested using an object array containing time* types, something like\r\n```\r\nIn [20]: a = array([timedelta64('NaT'), timedelta64(0)], dtype=object)          \r\n\r\nIn [21]: a.sort() \r\n```\r\nBut that is hard to check without merging this.
722238305-19598-nu	This LGTM - do you think it'd be worth to convert my previous comments into two tests? If you have no objection I'd be happy to push that up.
719692964-19587-nu	Bit of a shaky review here, but to me the change to `flags` is definitely an improvement, while for the `slots` the case is a little less clear, since it combines such disparate items. \r\n\r\nMy overall sense, though, is to just get this in and keep going - you may well find another adjustment would be good, but I think that is OK.
680560207-19587-nu	Ah, clearly you were thinking about these as a separate entity as well...
681122854-19587-nu	OK, that makes sense. Regardless, with the macros it becomes an implementation detail, which is nice.
887236734-19565-nu	Something is weird with `PyArray_MultiIter_SIZE`. I don't understand why it [is documented](https://21173-908607-gh.circle-artifacts.com/0/doc/build/html/user/c-info.beyond-basics.html?highlight=pyarray_multiiter_size#broadcasting-over-multiple-arrays) but never defined. Did it get removed in a refactor?
887436928-19565-nu	Then we would need to redo that example that uses it. Perhaps leave it out of this PR for now\r\n\r\n> to add `PyArray_FinalizeFunc` ...\r\n\r\nYes, but what should that documentation be?
677635017-19565-nu	Heh, nice re-use from `__array_finalize__`
677635017-19565-nu	Heh, nice re-use from `__array_finalize__`
887392378-19554-nu	In any case, the added tests look good to me.
