708478707-2168-u	Add comments explaining what this is about, specifically calling out the device and use case
558858055-1611-nu	I checked out the branch, deployed locally, added the support library only to a project then support library + jetifier and it's all been working, no issue.    I'm going to merge :)
532417307-1589-nu	Once this land, will the plugin be automatically available as soon as we make the next release to maven central? Wondering if publishing a gradle plugin is as simple as publishing a jar, or if there's more work that needs to happen.
326638059-1589-nu	I find it interesting to have a group, when listing tasks they are grouped. Maybe a more general group such as "memory monitoring" would provide more insights on what the tasks are doing.
528427447-1559-nu	typeSize is an artifact of older code prior to creating PrimitiveType, so I would actually favor the latter (PrimitiveType). In both cases we're doing a map lookup so it's kind of equivalent.
317375992-1551-nu	This test is testing that SharkLog.d passes the result of the callback to SharkLog.logger.d, right? 
316862369-1542-nu	I was wondering if the mapping should happen when parsing instead? ie either passing proguardMapping to `Hprof.open` or `HprofReader.readHprofRecords`. This would provide the mapping capabilities even if you're not using the index. One issue though is that you can't tell if a string is a class name, a field name, or something else. So it probably wouldn't work?
318249173-1542-nu	I'm curious about the distinct casing (dash for "analyze-process" vs underscore for "proguard_mapping"), is there a standard practice?
522205084-1535-nu	Thanks!    How do I generate / override the baseline? Btw I hadn't realized we'd have so many things in the baseline, that's a lot a content committed :) 
316832957-1535-nu	do we need empty files?
316917131-1535-nu	with that we can get rid of the vararg and lose the `new Object[0]`
524360847-1535-nu	I like the stats reports per module! Let's keep it.    Maybe we can make `./gradlew check` a commit hook?
524396649-1535-nu	oh sorry yeah I actually should have said push hook :)
